Fecha,Credito_SistemaBancario,Consumo_SistemaBancario,Vivienda_SistemaBancario,Credito_BBVA,Consumo_BBVA,Vivienda_BBVA,Credito_Santander,Consumo_Santander,Vivienda_Santander,Credito_banorte,Consumo_banorte,Vivienda_banorte,Credito_banamex,Consumo_banamex,Vivienda_banamex,Credito_HSBC,Consumo_HSBC,Vivienda_HSBC
01/01/2022,5606300,1379240,1302162,1334279,415122,329198,764704,177653,219278,821738,171771,250953,551687,193632,69236,392538,98881,141092
01/02/2022,5622316,1601869,1396540,1336382,475451,357795,763349,194633,233647,824204,193056,267104,554041,214315,71639,395569,105928,151547
01/03/2022,5677221,1618451,1406113,1362370,480562,359991,770440,196209,235577,821472,195971,268808,560663,215811,72803,392305,106312,152027
01/04/2022,5767031,1431934,1331484,1378537,433163,337516,782054,180387,223922,833368,175493,255315,570510,203013,68858,398891,102264,146116
01/05/2022,5825719,1697337,1424642,1408410,501924,366731,784134,205749,238532,836021,203460,272886,565689,232963,74356,401918,109821,152827
01/06/2022,5890638,1694265,1432357,1427985,500134,368911,783466,205039,240141,853251,203054,274789,572148,228863,75873,405534,107296,153221
01/07/2022,5934894,1395901,1309954,1445363,422147,331500,794514,178708,220403,858058,173325,252471,566932,194475,68880,404757,99966,142634
01/08/2022,5947750,1618451,1406113,1449169,480562,359991,791320,196209,235577,860941,195971,268808,570029,215811,72803,407748,106312,152027
01/09/2022,6019857,1641999,1414352,1467475,487381,363233,802319,198833,236885,864877,198684,270698,561461,220365,73405,422953,107109,152457
01/10/2022,6129452,1229677,1223348,1486982,370908,311411,817963,150869,210902,877609,150237,230279,584520,178713,70017,433052,86863,125009
01/11/2022,6183634,1431934,1331484,1504325,433163,337516,814765,180387,223922,887874,175493,255315,577780,203013,68858,429204,102264,146116
01/12/2022,6240117,1435639,1335506,1516177,437500,338592,810082,179322,224116,905914,176248,255340,580343,201142,69504,418145,101859,146362
01/01/2023,6252777,1435387,1335506,1525553,437500,338592,813820,179322,224116,915745,176248,255340,581928,201142,69504,420023,101859,146362
01/01/2023,6252811,1250817,1241869,1525553,378194,316449,813820,156323,212372,915745,154302,235888,581928,180382,70433,420023,89328,129338
01/02/2023,6284588,1493801,1352107,1532375,442854,344412,821272,184495,226389,927389,178473,257921,578521,204717,70517,423628,102838,148339
01/03/2023,6348032,1292708,1261467,1547131,388855,320381,810655,162723,213172,939279,160943,240696,595755,184081,70866,430546,91826,133546
01/04/2023,6396909,1319416,1272392,1573323,396415,322650,813629,166557,214845,939526,164709,243498,598993,188589,70771,435423,93640,135755
01/05/2023,6411147,1334225,1283546,1573740,401849,324546,818178,170785,216254,947124,166761,245982,588447,188881,71075,436819,95104,137800
01/06/2023,6425057,1356725,1291143,1580644,408937,326684,820687,173656,217387,956124,169172,248731,590102,191666,69049,438794,96729,139603
01/07/2023,6528647,1217660,1218094,1607619,366527,310821,831843,149105,210807,970960,147877,228797,596012,178374,69120,451358,85868,123938
01/08/2023,6570658,1224408,1206865,1621783,369094,309102,831245,149752,209449,980531,148002,225671,597849,180243,69022,447362,86437,120834
01/09/2023,6658265,1181339,1194868,1633966,356206,306882,847315,144256,208378,994817,143955,222883,609267,169855,68284,450664,82909,118743
01/10/2023,6718415,1160534,1186377,1652271,350421,304796,842695,141359,207704,1008702,141200,219943,614760,167593,68687,459058,82040,116999
01/11/2023,6797472,1379240,1302162,1678234,415122,329198,862784,177653,219278,1012871,171771,250953,621452,193632,69236,463031,98881,141092
01/12/2023,6793609,1144898,1172712,1679063,345123,302439,862275,138615,206000,991040,138832,215994,606133,166650,68202,468773,81238,115635
01/01/2024,6780500,1127498,1162035,1676991,338237,300003,864801,136420,204477,996684,136008,212192,600881,165671,68778,469461,80642,114146
01/02/2024,6787834,1113428,1137054,1686038,334777,293210,869236,133984,200925,988435,134323,207225,597397,164034,69094,471452,79682,110441
01/03/2024,6911457,1319416,1261467,1690553,396415,320381,868385,166557,213172,1005815,164709,240696,601552,188589,70866,478853,93640,133546
01/04/2024,6965554,1261467,1243397,1715694,320381,316449,868260,213172,212372,1019013,240696,235888,598982,70866,70433,481142,133546,129338
01/05/2024,7040481,1095861,1117766,1740008,330110,286945,876274,131543,197375,1032515,132174,204406,603524,162932,70681,483135,78814,107138
01/06/2024,7161459,1276063,1230778,1786581,383699,313913,874313,159911,211257,1055054,157446,232828,611419,184160,69626,487044,90835,126933
01/07/2024,7229546,1078489,1105874,1814430,324191,283937,880157,129543,195642,1061820,129588,202988,612394,160662,70699,498408,77659,105107
01/08/2024,7351193,1275476,1230778,1848363,383699,313913,897751,159911,211257,1077778,157446,232828,615260,184160,69626,497798,90835,126933
01/09/2024,7341347,1242673,1218094,1839031,373278,310821,874142,154180,210807,1079814,152092,228797,620252,179881,69120,503556,88337,123938
01/10/2024,7416394,1051320,1414352,1872621,314163,363233,901098,125130,236885,1090778,126151,270698,626029,159183,73405,502511,75407,152457
01/11/2024,7581259,1229187,1424642,1931397,370908,366731,914842,150869,238532,1117860,150237,272886,634649,178713,74356,513341,86863,152827
01/12/2024,7659432,1242673,1432357,1943751,373278,368911,891438,154180,240141,1137460,152092,274789,462724,179881,75873,511046,88337,153221