Participacion_Credito_BBVA,Participacion_Credito_Santander,Participacion_Credito_banorte,Participacion_Credito_banamex,Participacion_Credito_HSBC,Participacion_Consumo_BBVA,Participacion_Consumo_Santander,Participacion_Consumo_banorte,Participacion_Consumo_banamex,Participacion_Consumo_HSBC,Participacion_Vivienda_BBVA,Participacion_Vivienda_Santander,Participacion_Vivienda_banorte,Participacion_Vivienda_banamex,Participacion_Vivienda_HSBC,Fecha
0.23799636123646611,0.13640083477516365,0.14657403278454595,0.09840483028022047,0.07001730196386208,0.30097879991879584,0.12880499405469678,0.1245403265566544,0.14039035990835533,0.07169238131144688,0.252808790304125,0.16839533022772896,0.1927202606127348,0.05317003567912441,0.10835210979893439,2022-01-01
0.23769243848976115,0.13577127290604085,0.14659510422395325,0.09854319821226697,0.07035694898685879,0.2968101636276125,0.12150369349803261,0.12051921848790381,0.1337905908660446,0.06612775451675512,0.25620103971243213,0.16730419465249832,0.19126125997107135,0.05129749237401005,0.10851604680138055,2022-02-01
0.23997128172392795,0.13570724127174194,0.14469614623069985,0.09875659235389991,0.0691015903731773,0.29692712352737277,0.1212325859726368,0.12108553178316799,0.13334416673720736,0.06568749996138283,0.2560185418952815,0.16753774412156064,0.19117097985723766,0.0517760663616651,0.10811862204531215,2022-03-01
0.23903755676014227,0.13560773299120465,0.1445055523370691,0.09892611986999897,0.06916747976558475,0.30250207062616014,0.12597438150082335,0.12255662621321932,0.14177538908916193,0.0714166993730158,0.25348858867248875,0.16817475838988677,0.19175221031570788,0.05171522902265442,0.10973920828188698,2022-04-01
0.24175728352157047,0.1345986649888194,0.1435052051085883,0.0971020057781709,0.06899028257284637,0.2957126369129996,0.12121870907191677,0.11987012596791327,0.13725206013891172,0.06470194192432027,0.2574197587885237,0.16743294104764567,0.1915470693690064,0.052192761409533064,0.10727396777576402,2022-05-01
0.2424160167370665,0.1330018921549754,0.1448486564613205,0.09712835859205743,0.0688438162385806,0.29519231052993483,0.12101943910781371,0.11984783962367163,0.13508099382328032,0.06332893614635254,0.2575552044636917,0.1676544325192672,0.19184393276257247,0.052970732855007516,0.10697123691928757,2022-06-01
0.2435364473232378,0.13387164117842712,0.14457848783819896,0.09552521072827923,0.06819953313403744,0.30241901109032804,0.1280234056713191,0.12416711500314134,0.13931861930036585,0.07161396116200218,0.25306232127235,0.1682524729876011,0.1927327219123725,0.0525819990625625,0.10888473946413385,2022-07-01
0.24364995166239334,0.13304526921945273,0.14475070404774915,0.09583943508049263,0.0685549997898365,0.29692712352737277,0.1212325859726368,0.12108553178316799,0.13334416673720736,0.06568749996138283,0.2560185418952815,0.16753774412156064,0.19117097985723766,0.0517760663616651,0.10811862204531215,2022-08-01
0.2437724019025701,0.13327874731908085,0.1436706885229998,0.09326816235003589,0.07025964238020936,0.2968217398427161,0.12109203476981412,0.12100129171820445,0.1342053192480629,0.06523085580441888,0.2568193773544351,0.16748659456768894,0.19139365589329954,0.051900092763329075,0.10779282667963845,2022-09-01
0.24259623861970042,0.13344798197293983,0.14317903133918009,0.09536252180455937,0.07065101415265182,0.3016304281530841,0.12268994215554166,0.12217598605162168,0.14533328670862347,0.07063887508670977,0.2545563486432315,0.17239738815120473,0.18823670778878945,0.057233918721410426,0.10218596834261387,2022-10-01
0.2432752326544553,0.1317615175801155,0.14358450063506345,0.0934369660300076,0.06940967075347602,0.30250207062616014,0.12597438150082335,0.12255662621321932,0.14177538908916193,0.0714166993730158,0.25348858867248875,0.16817475838988677,0.19175221031570788,0.05171522902265442,0.10973920828188698,2022-11-01
0.24297252759844087,0.12981839923834762,0.14517580359470825,0.09300194211102132,0.06700916024491207,0.3047423481808449,0.12490744539539536,0.1227662385878344,0.14010625233780916,0.07095028764194898,0.2535308714449804,0.16781354782382107,0.1911934502727805,0.052043195612749026,0.10959291833956568,2022-12-01
0.2439800747731768,0.1301533702545285,0.1464541275020683,0.09306712841350331,0.0671738333223782,0.30479584948170774,0.12492937444744867,0.12278779172446176,0.14013084972902778,0.07096274384538803,0.2535308714449804,0.16781354782382107,0.1911934502727805,0.052043195612749026,0.10959291833956568,2023-01-01
0.24397874811824632,0.1301526625384967,0.14645333114978207,0.09306662235592919,0.06717346806100488,0.30235757908630917,0.1249767152189329,0.12336097126917847,0.1442113434659107,0.07141572268365397,0.25481673187751686,0.17100998575534135,0.18994596048375473,0.05671532182540993,0.10414786100627361,2023-01-01
0.24383062183233015,0.13068032462907672,0.14756560016344747,0.09205392620805056,0.06740744182434871,0.2964611752167792,0.12350708026035596,0.1194757534638148,0.13704435865285938,0.06884317255109616,0.2547224443035943,0.167434234124962,0.19075487368973018,0.05215341685236449,0.10970951263472492,2023-02-01
0.24371821062023633,0.12770178222163972,0.14796380988627655,0.09384877076864137,0.06782353964189217,0.3008065239791198,0.12587761505305142,0.12450066062869573,0.1423995210055171,0.07103382975892468,0.25397493553140904,0.16898737739473169,0.19080641824161867,0.056177450539728745,0.105865631047027,2023-03-01
0.24595050515803804,0.12719096050920844,0.1468718720244418,0.09363788042005912,0.06806771833083759,0.30044731911694267,0.12623539505356915,0.12483477538547358,0.1429336918757996,0.07097079313878261,0.25357751384793364,0.168851265962062,0.19137026953957587,0.0556204377267383,0.10669274877553458,2023-04-01
0.24546933645414776,0.12761803777077643,0.14773081946179054,0.0917849801291407,0.06813429796571503,0.30118533230901834,0.12800314789484532,0.12498716483351759,0.1415660776855478,0.07128033127845754,0.25285108597588246,0.1684816905666022,0.19164252780967725,0.05537394063009818,0.1073588324843831,2023-05-01
0.2460124478273111,0.12773225202515714,0.14881175373230152,0.09184385445919001,0.06829418011388848,0.3014148040317677,0.12799646206858428,0.12469144447106083,0.14127107556800383,0.07129595164827066,0.2530192240518672,0.1683678724974693,0.19264403710510764,0.053478971732797996,0.10812357732644641,2023-06-01
0.2462407601452491,0.12741430192197556,0.14872300493501947,0.09129180977314288,0.06913499841544504,0.3010093129445001,0.12245208021943728,0.12144358852224758,0.14648916774797563,0.07051886405072023,0.25516996225250266,0.17306299842212505,0.18783197355869088,0.056744389185071104,0.10174748418430761,2023-07-01
0.2468220077806515,0.12650863886082642,0.14922873782199592,0.09098769103490092,0.06808480977095445,0.30144690331980845,0.1223056366831971,0.12087637454181939,0.1472082835133387,0.07059493240815153,0.25611978141714276,0.17354799418327652,0.18698943129513243,0.05719115228298111,0.10012221748082843,2023-08-01
0.24540417060600622,0.12725762642370048,0.1494108450174332,0.09150536964209145,0.06768489989509278,0.3015273346600764,0.12211228106411454,0.12185748544659916,0.14378175951187594,0.07018222542386224,0.256833390801327,0.17439415902007585,0.18653357525684847,0.05714773514731334,0.09937750446074378,2023-09-01
0.24593166691846216,0.12543062612238154,0.15013987674176127,0.09150372520899647,0.06832831850964848,0.301948068733876,0.12180513453289607,0.12166812863733419,0.1444102456283056,0.07069159542072874,0.25691327461675334,0.1750741964822312,0.18539047874326625,0.057896435955855516,0.09861873586558068,2023-10-01
0.24689090297098687,0.1269271870483615,0.14900701319549386,0.09142398821208826,0.06811811802976166,0.30097879991879584,0.12880499405469678,0.1245403265566544,0.14039035990835533,0.07169238131144688,0.252808790304125,0.16839533022772896,0.1927202606127348,0.05317003567912441,0.10835210979893439,2023-11-01
0.24715331718384145,0.1269244373645878,0.14587828060166547,0.08922106055853377,0.06900205766920056,0.30144432080412403,0.12107192081740033,0.12126145735253271,0.14555881834014908,0.07095653935983817,0.25789707958987373,0.17566120240945773,0.18418332889916705,0.05815750158606717,0.09860477252727012,2023-12-01
0.2473255659612123,0.1275423641324386,0.14699269965341788,0.08861898090111349,0.06923692942998304,0.2999890021977866,0.12099356273802703,0.12062815189029161,0.1469368460077091,0.07152296500747674,0.2581703649201616,0.17596457938013915,0.18260379420585438,0.05918754598613639,0.09822939928659635,2024-01-01
0.24839116572385242,0.1280579342394054,0.14561861707283943,0.08800996017286221,0.06945544042473638,0.30067233804071747,0.12033467812916507,0.12063914325847742,0.1473234012437266,0.07156457355123097,0.25786813994761904,0.1767066471777066,0.18224728113176683,0.06076580355902182,0.0971290721460898,2024-02-01
0.24460153626073344,0.12564427442723003,0.14552864902436635,0.0870369301292043,0.06928394403669154,0.30044731911694267,0.12623539505356915,0.12483477538547358,0.1429336918757996,0.07097079313878261,0.25397493553140904,0.16898737739473169,0.19080641824161867,0.056177450539728745,0.105865631047027,2024-03-01
0.246311205110175,0.12465053030957768,0.1462931735221635,0.08599201154710738,0.06907447706241313,0.25397493553140904,0.16898737739473169,0.19080641824161867,0.056177450539728745,0.105865631047027,0.25450358976256177,0.17079983303804014,0.18971253750813297,0.056645624848700775,0.1040198745855105,2024-04-01
0.24714334148476502,0.12446223489559875,0.1466540425291965,0.08572198405194191,0.0686224421314396,0.30123345935296536,0.12003620897175828,0.12061201192487003,0.14867944018447596,0.07191970514508683,0.2567129434962237,0.17657989239250432,0.1828701177169461,0.06323416529040962,0.09585011531930654,2024-05-01
0.2494716509582754,0.12208587663491476,0.14732389028548512,0.08537631787042277,0.0680090467598851,0.3006896994897587,0.12531591308579593,0.1233841902790066,0.14431889334617493,0.07118378951509448,0.25505249525097134,0.1716450895287371,0.18917140215375966,0.056570721933606224,0.10313232768216526,2024-06-01
0.2509742658805961,0.12174443595766594,0.14687229322560505,0.08470711715507447,0.06894042862442538,0.30059740989476946,0.12011527238571743,0.12015699742881013,0.14896953051908735,0.0720072249230173,0.25675348186140556,0.17691165539654607,0.1835543651446729,0.06393042968728806,0.09504428171744701,2024-07-01
0.25143714768473635,0.12212317102815828,0.14661266545443713,0.08369525871515004,0.06771662776368408,0.3008280830058739,0.12537358601808266,0.12344097419316397,0.1443853118365222,0.0712165497429979,0.25505249525097134,0.1716450895287371,0.18917140215375966,0.056570721933606224,0.10313232768216526,2024-08-01
0.25050321146786825,0.1190710642066095,0.1470866313770484,0.08448749255415934,0.06859177205491036,0.30038312572977766,0.12407125607460692,0.12239100712737784,0.14475328586039932,0.07108627933494974,0.25516996225250266,0.17306299842212505,0.18783197355869088,0.056744389185071104,0.10174748418430761,2024-09-01
0.25249750754881684,0.12150082641240474,0.14707659814190022,0.08441150780284866,0.06775678314825237,0.2988271886770917,0.11902180116425065,0.11999296122969219,0.15141250998744435,0.07172602062169463,0.2568193773544351,0.16748659456768894,0.19139365589329954,0.051900092763329075,0.10779282667963845,2024-10-01
0.25475940078026615,0.12067151379474042,0.14745044325751172,0.0837128767134852,0.06771184047398987,0.30175066934485967,0.12273885096409252,0.12222468997800985,0.14539122200283602,0.07066703438939723,0.2574197587885237,0.16743294104764567,0.1915470693690064,0.052192761409533064,0.10727396777576402,2024-11-01
0.2537722118298067,0.11638434808220766,0.14850448440563216,0.06041231255790246,0.06672113545756396,0.30038312572977766,0.12407125607460692,0.12239100712737784,0.14475328586039932,0.07108627933494974,0.2575552044636917,0.1676544325192672,0.19184393276257247,0.052970732855007516,0.10697123691928757,2024-12-01
